,id,Brand,Model_Number,Price,Photo,Engine_Type,Body_Type,Fuel_Type,Gearbox_Type,Power_hp,Displacement_l,Torque_lbft,Cylinders,Drivetrain,MPG_City,MPG_Highway
1424,1424,Aston Martin,DB11 V8 Volante 2021,220900.0,https://www.ccarprice.com/products/Aston_Martin_DB11_V8_Volante_2021.jpg,4.0L Twin-Turbo V8 Gas,Convertible,Petrol,Automatic,503.0,4.0,513.0,8.0,rear,18.0,24.0
1425,1425,Aston Martin,DB11 V8 2021,205600.0,https://www.ccarprice.com/products/Aston_Martin_DB11_2021.jpg,4.0L Twin-Turbo V8 Gas,Coupe,Petrol,Automatic,503.0,4.0,513.0,8.0,rear,18.0,24.0
1426,1426,Aston Martin,DBS Superleggera Coupe 2021,316300.0,https://www.ccarprice.com/products/Aston_Martin_DBS_Superleggera_Coupe_2021.jpg,5.2-liter Twin-Turbo V12 Gas,Coupe,Petrol,Automatic,715.0,5.2,663.0,12.0,rear,14.0,22.0
1429,1429,Aston Martin,V8 Vantage Roadster 2021,160000.0,https://www.ccarprice.com/products/Aston_Martin_V8_Vantage_Roadster_2021.gif,4.0-liter Twin-Turbo V8 Gas,Convertible,Petrol,Automatic,503.0,4.0,505.0,8.0,rear,18.0,25.0
1431,1431,Aston Martin,DB11 AMR 2020,241000.0,https://www.ccarprice.com/products/Aston-Martin-DB11-AMR-2020.jpg,5.2-liter Twin-Turbo V12 Gas,Coupe,Petrol,Automatic,630.0,5.2,516.0,12.0,rear,15.0,22.0
1438,1438,Aston Martin,Vantage Roadster 2021,160000.0,https://www.ccarprice.com/products/Aston-Martin-Vantage-Roadstar-2021.jpg,4.0-liter Twin-Turbo V8 Gas,Convertible,Petrol,Automatic,503.0,4.0,505.0,8.0,rear,18.0,25.0
1442,1442,Ferrari,812 GTS 2022,469310.0,https://www.ccarprice.com/products/Ferrari_812_GTS_2022.jpg,6.5-liter V12 Gas,Convertible,Petrol,Automatic,789.0,6.5,530.0,12.0,rear,12.0,16.0
1443,1443,Ferrari,F8 Spider 2022,278050.0,https://www.ccarprice.com/products/Ferrari_F8_Spider_2022_1.jpg,3.9L Twin-Turbo V8 Gas,Convertible,Petrol,Automatic,710.0,3.9,568.0,8.0,rear,15.0,18.0
1449,1449,Ferrari,812 Competizione A 2022,672000.0,https://www.ccarprice.com/products/Ferrari_812_Competizione_A_2022.jpg,6.5L V12,Coupe,Petrol,Automatic,830.0,6.5,510.0,12.0,rear,12.0,16.0
1450,1450,Ferrari,Monza SP2 2021,1800000.0,https://www.ccarprice.com/products/Ferrari_Monza_SP2_2021.jpg,6.5L V12 Gas,Convertible,Petrol,Automatic,800.0,6.5,530.0,12.0,rear,9.0,17.0
1451,1451,Ferrari,Monza SP1 2021,1800000.0,https://www.ccarprice.com/products/Ferrari_Monza_SP1_2021.jpg,6.5L V12 Gas,Convertible,Petrol,Automatic,800.0,6.5,530.0,12.0,rear,9.0,17.0
1454,1454,Ferrari,812 Superfast 2022,610000.0,https://www.ccarprice.com/products/Ferrari_812_Superfast_2022.jpg,6.5-liter V12 Gas,Coupe,Petrol,Automatic,788.0,6.5,529.0,12.0,rear,12.0,16.0
1455,1455,Ferrari,SF90 Spider 2022,558000.0,https://www.ccarprice.com/products/Ferrari_812_Superfast_2022_1.jpg,4.0-liter Twin-Turbo V8 Plug-in Hybrid,Convertible,Petrol,Automatic,986.0,4.0,590.0,8.0,all,20.0,24.0
1456,1456,Ferrari,812 Competizione 2022,583000.0,https://www.ccarprice.com/products/Ferrari_812_Competizione_2022_1.jpg,6.5L V12,Coupe,Petrol,Automatic,830.0,6.5,510.0,12.0,rear,12.0,16.0
1457,1457,Ferrari,812 Superfast 2021,338000.0,https://www.ccarprice.com/products/Ferrari_812_Superfast_2021.jpg,6.5-liter V12 Gas,Coupe,Petrol,Automatic,788.0,6.5,529.0,12.0,rear,12.0,16.0
1458,1458,Ferrari,SF90 Spider Assetto Fiorano 2021,558000.0,https://www.ccarprice.com/products/Ferrari_SF90_Spider_Assetto_Fiorano_2021.jpg,4.0-liter Twin-Turbo V8 Plug-in Hybrid,Convertible,Petrol,Automatic,986.0,4.0,590.0,8.0,all,20.0,24.0
1459,1459,Ferrari,F8 Spider 2021,302500.0,https://www.ccarprice.com/products/Ferrari_F8_Spider_2021.jpg,3.9L Twin-Turbo V8 Gas,Convertible,Petrol,Automatic,710.0,3.9,568.0,8.0,rear,15.0,18.0
1460,1460,Ferrari,F8 Tributo 2021,280000.0,https://www.ccarprice.com/products/Ferrari_F8_Tributo_2021.jpg,3.9L Twin-Turbo V8 Gas,Coupe,Petrol,Automatic,710.0,3.9,568.0,8.0,rear,15.0,19.0
1461,1461,Ferrari,SF90 Spider 2021,558000.0,https://www.ccarprice.com/products/Ferrari_SF90_Spider_2021.jpg,4.0-liter Twin-Turbo V8 Plug-in Hybrid,Convertible,Petrol,Automatic,986.0,4.0,590.0,8.0,all,19.0,23.0
1463,1463,Ferrari,812 GTS 2020,363730.0,https://www.ccarprice.com/products/Ferrari-812-GTS-2020.jpg,6.5-liter V12 Gas,Convertible,Petrol,Automatic,789.0,6.5,530.0,12.0,rear,12.0,16.0
1465,1465,Ferrari,GTC4 Lusso T,260000.0,https://www.ccarprice.com/products/Ferrari-GTC4-Lusso-T-2020.jpg,3.9-liter Twin-Turbo V8 Gas,Wagon,Petrol,Automatic,602.0,3.9,561.0,8.0,rear,15.0,21.0
1466,1466,Ferrari,F8 Tributo 2020,276550.0,https://www.ccarprice.com/products/Ferrari-F8-Tributo-2020.jpg,3.9-liter Twin-Turbo V8 Gas,Convertible,Petrol,Automatic,710.0,3.9,568.0,8.0,rear,16.0,29.0
1468,1468,Ferrari,812 Superfast 2020,335000.0,https://www.ccarprice.com/products/Ferrari-812-Superfast-2020.jpg,6.5-liter V12 Gas,Coupe,Petrol,Automatic,788.0,6.5,529.0,12.0,rear,12.0,16.0
1469,1469,Ferrari,Portofino,215000.0,https://www.ccarprice.com/products/Ferrari-Portofino-2020.jpg,3.9-liter Twin-Turbo V8 Gas,Convertible,Petrol,Automatic,591.0,3.9,561.0,8.0,rear,16.0,22.0
1470,1470,Ferrari,GTC4 Lusso 2020,298000.0,https://www.ccarprice.com/products/Ferrari-GTC4Lusso-2020.jpg,6.3-liter V12 Gas,Wagon,Petrol,Automatic,680.0,6.3,514.0,12.0,all,12.0,17.0
1492,1492,Lamborghini,Aventador LP 780-4 Ultimae Roadster 2022,546840.0,https://www.ccarprice.com/products/Lamborghini_Aventador_LP_780_4_Ultimae_Roadster_2022.jpg,6.5L V12 Gas,Convertible,Petrol,Automatic,769.0,6.5,531.0,12.0,all,9.0,15.0
1495,1495,Lamborghini,Huracan Tecnica 2022,239000.0,https://www.ccarprice.com/products/Lamborghini_Huracan_Tecnica_2022.jpg,5.2L V10 Gas,Coupe,Petrol,Automatic,631.0,5.2,416.0,10.0,rear,13.0,15.0
1496,1496,Lamborghini,Urus Performance 2022,230000.0,https://www.ccarprice.com/products/Lamborghini_Urus_Performance_2022.jpg,4.0L Twin-Turbocharged V8,SUV,Petrol,Automatic,641.0,4.0,627.0,8.0,all,12.0,17.0
1497,1497,Lamborghini,Urus S 2023,200000.0,https://www.ccarprice.com/products/Lamborghini_Urus_S_2023_3.jpg,4.0L Twin-Turbo V8 Gas,SUV,Petrol,Automatic,657.0,4.0,627.0,8.0,all,12.0,17.0
1498,1498,Lamborghini,Urus SUV 2022,390000.0,https://www.ccarprice.com/products/Lamborghini_Urus_SUV_2022.jpg,4.0-liter Twin-Turbo V8,SUV,Petrol,Automatic,641.0,4.0,626.0,8.0,all,12.0,17.0
1500,1500,Lamborghini,Aventador Ultimate LP 780-4 2022,498250.0,https://www.ccarprice.com/products/Lamborghini_Aventador_Ultimate_LP_780_4_2022.jpg,6.5L V12 Gas,Coupe,Petrol,Automatic,769.0,6.5,507.0,12.0,all,9.0,15.0
1501,1501,Lamborghini,Aventador LP740-4 S 2022,417820.0,https://www.ccarprice.com/products/Lamborghini_Aventador_LP740-4_S_2022.jpg,6.5-liter V12 Gas,Coupe,Petrol,Automatic,729.0,6.5,507.0,12.0,rear,9.0,15.0
1503,1503,Lamborghini,Aventador SVJ Roadster 2022,825910.0,https://www.ccarprice.com/products/Lamborghini_Aventador_SVJ_Roadster_2022_1.jpg,6.5L V12 Gas,Coupe,Petrol,Automatic,759.0,6.5,530.0,12.0,all,11.0,15.0
1504,1504,Lamborghini,Urus Evo 2022,229490.0,https://www.ccarprice.com/products/Lamborghini_Urus_Evo_2022_1.jpg,4.0-liter Twin-Turbo V8,SUV,Petrol,Automatic,641.0,4.0,626.0,8.0,all,12.0,17.0
1505,1505,Lamborghini,Aventador LP780-4 Ultimae Roadster 2022,546840.0,https://www.ccarprice.com/products/Lamborghini_Aventador_LP780-4_Ultimae_Roadster_2022.jpg,6.5L V12 Gas,Convertible,Petrol,Automatic,769.0,6.5,531.0,12.0,all,9.0,15.0
1506,1506,Lamborghini,Countach LPI 800-4 2022,2500000.0,https://www.ccarprice.com/products/Lamborghini_Countach_2022_1.jpg,6.5L V12,Coupe,Petrol,Automatic,814.0,6.5,557.0,12.0,all,11.0,16.0
1507,1507,Lamborghini,Countach LPI 800-4 2022,2640000.0,https://www.ccarprice.com/products/Lamborghini_Countach_LPI_800-4_2022.jpg,6.5L V12,Coupe,Petrol,Automatic,814.0,6.5,557.0,12.0,all,11.0,16.0
1508,1508,Lamborghini,Aventador Ultimae LP 780-4 2022,498250.0,https://www.ccarprice.com/products/Lamborghini_Aventador_Ultimae_LP780-4_2022.jpg,6.5L V12 Gas,Coupe,Petrol,Automatic,769.0,6.5,531.0,12.0,all,9.0,15.0
1509,1509,Lamborghini,Aventador LP780-4 Ultimae 2022,498260.0,https://www.ccarprice.com/products/Lamborghini_Aventador_LP780-4_Ultimae_2022_1.jpg,6.5L V12 Gas,Coupe,Petrol,Automatic,769.0,6.5,531.0,12.0,all,9.0,15.0
1510,1510,Lamborghini,Huracan Evo 2022,261274.0,https://www.ccarprice.com/products/Lamborghini_Huracan_Evo_2022.jpg,5.2L V10 Gas,Coupe,Petrol,Automatic,610.0,5.2,413.0,10.0,all,13.0,18.0
